%%MatrixMarket matrix coordinate real symmetric (Lower part only)
20 20 51
1, 1, 2.00000000e+00
2, 1, -1.00000000e+00
2, 2, 4.00000000e+00
3, 2, -1.00000000e+00
3, 3, 4.00000000e+00
4, 3, -1.00000000e+00
4, 4, 2.00000000e+00
5, 1, -5.00000000e-01
5, 5, 2.00000000e+00
6, 2, -1.00000000e+00
6, 5, -1.00000000e+00
6, 6, 4.00000000e+00
7, 3, -1.00000000e+00
7, 6, -1.00000000e+00
7, 7, 4.00000000e+00
8, 4, -5.00000000e-01
8, 7, -1.00000000e+00
8, 8, 2.00000000e+00
9, 5, -5.00000000e-01
9, 9, 2.00000000e+00
10, 6, -1.00000000e+00
10, 9, -1.00000000e+00
10, 10, 4.00000000e+00
11, 7, -1.00000000e+00
11, 10, -1.00000000e+00
11, 11, 4.00000000e+00
12, 8, -5.00000000e-01
12, 11, -1.00000000e+00
12, 12, 2.00000000e+00
13, 9, -5.00000000e-01
13, 13, 2.00000000e+00
14, 10, -1.00000000e+00
14, 13, -1.00000000e+00
14, 14, 4.00000000e+00
15, 11, -1.00000000e+00
15, 14, -1.00000000e+00
15, 15, 4.00000000e+00
16, 12, -5.00000000e-01
16, 15, -1.00000000e+00
16, 16, 2.00000000e+00
17, 13, -5.00000000e-01
17, 17, 2.00000000e+00
18, 14, -1.00000000e+00
18, 17, -1.00000000e+00
18, 18, 4.00000000e+00
19, 15, -1.00000000e+00
19, 18, -1.00000000e+00
19, 19, 4.00000000e+00
20, 16, -5.00000000e-01
20, 19, -1.00000000e+00
20, 20, 2.00000000e+00
